iter	Passed	Remaining
0	0	727
1	1	684
2	2	690
3	2	651
4	3	636
5	3	654
6	4	659
7	5	667
8	6	675
9	6	672
10	7	665
11	8	669
12	8	667
13	9	664
14	10	665
15	10	668
16	11	670
17	12	664
18	12	660
19	13	657
20	14	657
21	14	659
22	15	659
23	16	659
24	16	658
25	17	657
26	18	654
27	18	654
28	19	653
29	20	651
30	20	649
31	21	648
32	22	648
33	22	650
34	23	648
35	24	649
36	24	648
37	25	647
38	26	647
39	26	645
40	27	645
41	28	645
42	29	645
43	29	645
44	30	644
45	30	642
46	31	642
47	32	640
48	32	639
49	33	638
50	34	638
51	34	636
52	35	636
53	36	635
54	37	635
55	37	637
56	38	636
57	39	633
58	39	632
59	40	631
60	41	631
61	41	630
62	42	630
63	43	630
64	43	629
65	44	628
66	45	627
67	45	627
68	46	626
69	47	626
70	47	625
71	48	625
72	49	625
73	49	624
74	50	623
75	51	622
76	51	622
77	52	622
78	53	621
79	54	622
80	54	622
81	55	620
82	55	616
83	56	616
84	57	615
85	57	613
86	58	612
87	58	611
88	59	609
89	60	609
90	60	608
91	61	608
92	62	607
93	62	606
94	63	605
95	64	604
96	64	603
97	65	602
98	66	602
99	67	603
100	68	606
101	68	606
102	69	605
103	70	604
104	70	602
105	71	600
106	71	598
107	72	597
108	72	595
109	73	593
110	73	591
111	74	589
112	74	588
113	75	586
114	75	584
115	76	582
116	76	580
117	77	578
118	77	576
119	78	574
120	78	573
121	79	570
122	79	569
123	80	567
124	80	565
125	81	564
126	81	561
127	82	560
128	83	560
129	83	559
130	84	558
131	84	556
132	85	555
133	85	553
134	86	552
135	86	550
136	87	549
137	87	547
138	88	546
139	88	545
140	89	543
141	89	541
142	90	540
143	90	538
144	91	538
145	91	536
146	92	535
147	92	534
148	93	533
149	93	532
150	94	530
151	94	529
152	95	528
153	96	527
154	96	526
155	97	525
156	97	525
157	98	524
158	99	524
159	99	524
160	100	522
161	100	522
162	101	521
163	102	520
164	102	519
165	103	518
166	103	517
167	104	516
168	104	515
169	105	514
170	105	512
171	106	511
172	106	510
173	107	509
174	107	508
175	108	507
176	108	506
177	109	505
178	109	504
179	110	502
180	110	501
181	111	500
182	111	499
183	112	498
184	113	498
185	113	497
186	114	497
187	114	496
188	115	495
189	115	494
190	116	493
191	116	492
192	117	491
193	117	490
194	118	489
195	119	488
196	119	487
197	120	486
198	120	485
199	121	484
200	121	483
201	122	482
202	122	481
203	123	480
204	123	479
205	124	478
206	124	477
207	125	476
208	125	475
209	126	474
210	126	473
211	127	472
212	128	474
213	129	474
214	129	474
215	130	474
216	131	473
217	131	472
218	132	471
219	132	471
220	133	470
221	134	469
222	134	469
223	135	468
224	135	468
225	136	467
226	137	467
227	137	466
